337,"('dont', 'think', 'want')",376
338,"('suprem', 'court', 'decis')",443
339,"('dont', 'know', 'hes')",591
340,"('know', 'hes', 'go')",562
341,"('coupl', 'year', 'ago')",545
342,"('im', 'go', 'go')",965
343,"('take', 'quick', 'break')",445
344,"('that', 'us', 'today')",615
345,"('washington', 'im', 'brit')",641
346,"('think', 'youv', 'got')",433
347,"('director', 'nation', 'intellig')",440
348,"('hundr', 'million', 'dollar')",454
349,"('id', 'like', 'see')",513
350,"('think', 'your', 'right')",803
351,"('leader', 'mitch', 'mcconnel')",392
352,"('go', 'theyr', 'go')",468
353,"('wait', 'wait', 'wait')",1262
354,"('join', 'us', 'new')",691
355,"('us', 'new', 'york')",712
356,"('former', 'speaker', 'hous')",1056
357,"('go', 'new', 'york')",423
358,"('weve', 'got', 'go')",409
359,"('back', 'new', 'york')",442
360,"('nation', 'secur', 'council')",424
361,"('dont', 'know', 'right')",419
362,"('peopl', 'dont', 'like')",666
363,"('go', 'go', 'back')",595
364,"('yes', 'dont', 'think')",496
365,"('get', 'littl', 'bit')",497
366,"('week', 'standard', 'mara')",369
367,"('standard', 'mara', 'liasson')",369
368,"('white', 'hous', 'correspond')",2697
369,"('dont', 'know', 'theyr')",690
370,"('look', 'like', 'go')",402
371,"('former', 'secretari', 'state')",471
372,"('said', 'dont', 'want')",389
373,"('go', 'web', 'site')",411
374,"('thank', 'much', 'appreci')",1468
375,"('senat', 'hillari', 'clinton')",570
376,"('peopl', 'say', 'well')",448
377,"('health', 'care', 'plan')",912
378,"('dont', 'know', 'your')",494
379,"('told', 'fox', 'news')",414
380,"('today', 'white', 'hous')",399
381,"('ambassador', 'john', 'bolton')",473
382,"('get', 'thing', 'done')",540
383,"('way', 'mean', 'committe')",376
384,"('get', 'someth', 'done')",369
385,"('know', 'weve', 'got')",400
386,"('your', 'go', 'hear')",650
387,"('white', 'hous', 'spokesman')",453
388,"('dont', 'think', 'theyr')",642
389,"('that', 'good', 'question')",440
390,"('go', 'go', 'go')",423
391,"('that', 'what', 'go')",517
392,"('thank', 'much', 'us')",1030
393,"('thank', 'your', 'welcom')",490
394,"('say', 'wait', 'minut')",403
395,"('wait', 'minut', 'wait')",505
396,"('minut', 'wait', 'minut')",439
397,"('right', 'let', 'ask')",741
398,"('guest', 'worker', 'program')",467
399,"('comprehens', 'immigr', 'reform')",491
400,"('right', 'that', 'right')",751
401,"('go', 'back', 'forth')",428
402,"('american', 'peopl', 'dont')",487
403,"('right', 'dont', 'want')",418
404,"('correct', 'im', 'wrong')",377
405,"('state', 'union', 'address')",735
406,"('know', 'theyr', 'go')",775
407,"('go', 'ahead', 'well')",379
408,"('bush', 'tax', 'cut')",1895
409,"('right', 'dont', 'know')",753
410,"('fox', 'news', 'poll')",653
411,"('lot', 'peopl', 'dont')",501
412,"('long', 'time', 'ago')",710
413,"('want', 'get', 'back')",410
414,"('republican', 'presidenti', 'candid')",816
415,"('yes', 'that', 'right')",477
416,"('senior', 'white', 'hous')",716
417,"('well', 'ill', 'tell')",430
418,"('white', 'hous', 'press')",1332
419,"('im', 'go', 'take')",640
420,"('david', 'lee', 'miller')",373
421,"('peopl', 'dont', 'think')",389
422,"('special', 'edit', 'hanniti')",782
423,"('edit', 'hanniti', 'colm')",404
424,"('join', 'us', 'washington')",2266
425,"('spent', 'lot', 'time')",609
426,"('thank', 'us', 'tonight')",1783
427,"('nice', 'see', 'thank')",396
428,"('thank', 'watch', 'us')",2410
429,"('still', 'come', 'tonight')",468
430,"('hanniti', 'colm', 'im')",1580
431,"('colm', 'im', 'alan')",748
432,"('im', 'alan', 'colm')",769
433,"('join', 'us', 'former')",569
434,"('good', 'see', 'thank')",2085
435,"('see', 'thank', 'us')",597
436,"('former', 'presidenti', 'candid')",427
437,"('thank', 'us', 'appreci')",543
438,"('book', 'segment', 'tonight')",1775
439,"('fox', 'news', 'analyst')",1658
440,"('im', 'bill', 'oreilli')",3732
441,"('bill', 'oreilli', 'thank')",1822
442,"('oreilli', 'thank', 'watch')",1791
443,"('american', 'peopl', 'know')",523
444,"('stay', 'us', 'im')",1911
445,"('us', 'im', 'bill')",1627
446,"('unresolv', 'problem', 'segment')",475
447,"('problem', 'segment', 'tonight')",944
448,"('segment', 'tonight', 'know')",471
449,"('stori', 'segment', 'tonight')",1190
450,"('fox', 'news', 'anchor')",644
451,"('let', 'tell', 'someth')",850
452,"('give', 'last', 'word')",1055
453,"('yes', 'dont', 'know')",461
454,"('plenti', 'ahead', 'factor')",1745
455,"('ahead', 'factor', 'move')",1722
456,"('factor', 'move', 'along')",1792
457,"('subject', 'even', 'talk')",1562
458,"('even', 'talk', 'point')",1579
459,"('talk', 'point', 'memo')",3184
460,"('that', 'memo', 'top')",1304
461,"('memo', 'top', 'stori')",1378
462,"('top', 'stori', 'tonight')",2128
463,"('observ', 'fred', 'barn')",399
464,"('come', 'back', 'panel')",441
465,"('that', 'panel', 'stay')",1110
466,"('panel', 'stay', 'tune')",1634
467,"('minut', 'televis', 'latest')",715
468,"('next', 'special', 'report')",1993
469,"('updat', 'headlin', 'come')",508
470,"('headlin', 'come', 'back')",584
471,"('welcom', 'washington', 'im')",1226
472,"('white', 'hous', 'today')",427
473,"('fox', 'news', 'chief')",649
474,"('chief', 'white', 'hous')",991
475,"('correspond', 'bret', 'baier')",582
